Product,Orders,Units,Sales,AvgPrice,SalesRank,UnitsRank,RankGap,ProductType
Macbook Pro Laptop,4720,4724,8030800.0,1700.0,1,14,13,高价低销量
iPhone,6838,6845,4791500.0,700.0,2,9,7,高价高销量
ThinkPad Laptop,4124,4126,4125958.74,999.99,3,15,12,高价低销量
Google Phone,5521,5528,3316800.0,600.0,4,12,8,高价低销量
27in 4K Gaming Monitor,6224,6238,2432757.62,389.99,5,10,5,高价高销量
34in Ultrawide Monitor,6174,6192,2352898.08,379.99,6,11,5,高价低销量
Apple Airpods Headphones,15521,15633,2344950.0,150.0,7,6,-1,低价高销量
Flatscreen TV,4793,4812,1443600.0,300.0,8,13,5,高价低销量
Bose SoundSport Headphones,13295,13427,1342565.73,99.99,9,7,-2,低价高销量
27in FHD Monitor,7495,7538,1130624.62,149.99,10,8,-2,低价高销量
Vareebadd Phone,2064,2067,826800.0,400.0,11,17,6,高价低销量
20in Monitor,4096,4123,453488.76999999996,109.99,12,16,4,低价低销量
LG Washing Machine,666,666,399600.0,600.0,13,18,5,高价低销量
LG Dryer,646,646,387600.0,600.0,14,19,5,高价低销量
Lightning Charging Cable,21599,23163,346286.85,14.95,15,4,-11,低价高销量
USB-C Charging Cable,21851,23927,285927.64999999997,11.95,16,3,-13,低价高销量
Wired Headphones,18846,20520,246034.80000000002,11.99,17,5,-12,低价高销量
AA Batteries (4-pack),20542,27615,106041.59999999999,3.84,18,2,-16,低价高销量
AAA Batteries (4-pack),20590,30981,92633.19,2.99,19,1,-18,低价高销量
